GLOB SHIP ID,GZM SHIP IDS,BGB SHIPVOYAGES
2479,,533
2480,,2544
2481,,1297
2482,,1313
2483,,940;962;1540;3425;3695
2484,,1249;3874
2485,,9479
2486,,1353
2487,,15295
2488,,1547
2489,,2604
2490,,731;739;756;759;785;930;936;1045;1047;1213;1245;1334;1340;1581;1963;2246;2256;20045
2491,,945;1544
2492,,2284
2493,,1576
2494,,774
2495,,1176;1268;1296;1336;1553;1567;2330;20278
2496,,1335
2497,,19282
2498,,1343
2499,,11743
2500,,932;1375
2501,1958;2456;2534,
2502,,20270
2503,1832;2184;2281;2368,
2504,,1380
2505,5257,
2506,,14989;17154;17160;18036;18042;18532;18806
2507,,19915
2508,,2141
2509,339,
2510,,716
2511,5220,
2512,,170
2513,,19585
2514,,20080;20081
2515,,8582
2516,5291,
2517,4586;4621;4648;4682;4766;4793;4823;4878;4958;4992;5023,
2518,,581;873;1548;2087;2366;2368;2377;2378;2380;2415;2441;2612;2617;2619;2620;2621;2623;2792;2793;2796;3001;3016;3035;3045;3046;3051;3111;3321;3324;3326;3328;3419;3420;3422;3426;3431;3436;3532;3537;3564;3692;3818;3852;3854;3860;3866;3869;3870;3871;3872;3947;3949;3951;3952;3953;4070;4071;4072;4209;4393;4394;4395;4396;4404;4405;4406;4472;4746;4749;4753;4759;4760;4861;4876;4929;4932;5059;5067;5116;5121;5701;5703;5704;5707;6017;6021;6022;6023;6024;6030;6032;6206;8943;8982;8983;8985;8987;8988;8998;9010;9014;9016;9329;9333;9334;9335;9337;9338;9340;9343;20011
2519,559,
2520,619;647;725;1202;2142;2272,
2521,4803,
2522,1858;1963;2085,
2523,984,
2524,,16091
2525,796;888;1143;1269,
2526,343;369;416-1;503-1;577-1;703;826;914-2,
2527,1032;1137;1272;1366;1698;1765;1855;1990;2062;2158;2265;2365;2483,
2528,,4109;5252;7312;7316;8269;8273;8274;8280;8312;8314;8316;8511;8538;9928;10207;10209;10248;10253;10630;11333;11335;11408;11413;11415;11418;11419;11658
2529,,19842
2530,,7883;11637
2531,,2107
2532,,2137
2533,,9332
2534,1665;1787,
2535,4245;4293;4374;4415;4472;4500;5025,
2536,2019;2125;2304;2404;2496;2561;2797,
2537,560,
2538,,15610
2539,,3565
2540,,4083
2541,,1285
2542,,3173;20188
2543,,4567
2544,,4082
2545,,1307
2546,,13428
2547,2538,
2548,,9831;11407;11648
2549,,10291;10631
2550,485,
2551,,8729;13989;14030;14031;14412;14605
2552,,18439
2553,2762,
2554,,11738;11748
2555,1029;1140;1271;1358;1442;1527,
2556,,20044
2557,,1282;2428
2558,,6167
2559,,16811;20026
2560,,13238;13633;15251;18049;18055;18056;18936;19222;19617
2561,4370;4412;4448,
2562,1520,
2563,,2409
2564,,361;1067
2565,,13256;13537
2566,999;1134;1340;1461;1524,11981;14884
2567,,8149;10144
2568,3401;3517;3603;3683,11171;11889;13411
2569,621,
2570,,1407
2571,,11462;11887;11897;12138;12742
2572,5030,5042
2573,,20275
2574,1463;1526;1633,14116
2575,362;1842;1969;2074;2145,
2576,,5702
2577,,12354
2578,,5599
2579,847,
2580,,15309
2581,,15308
2582,597,
2583,561-1;890;1277;1362,
2584,,7606;7803;12169;12589
2585,,5055
2586,,2876;3136
2587,3411,
2588,4449,2969;3259;3264;3694;5137;5965;5967;5995;6251;6455;6760;6766;6825;6993;7228;8498
2589,,16406
2590,,11767
2591,,20013
2592,,13429;13478
2593,3428,
2594,5289,
2595,,1161
2596,23;114;182,
2597,,9709
2598,2457,
2599,,19935;19945;19968
2600,,18546
2601,,19933
2602,,14011
2603,,15804
2604,,16036
2605,,20236
2606,,10906
2607,,19494
2608,,14784
2609,,14821;16436
2610,,14076
2611,,10538
2612,,13466
2613,,15963
2614,,16431
2615,,14823
2616,,12293
2617,,18695
2618,,13468
2619,,19612
2620,,13237
2621,,16435
